"","error","sample.fraction","mtry","min.node.size","honesty.fraction","honesty.prune.leaves","alpha","imbalance.penalty"
"1",495.84055356794,0.102708762418479,10,24,0.598208983615041,1,0.0690737646073103,0.0669800213052372
"2",474.824230999496,0.267813379899599,11,2,0.742924747988582,0,0.0975058749900199,0.0863735445599674
"3",482.846429667103,0.343043162056711,12,19,0.635347723797895,1,0.234375668631401,0.198004130847062
"4",501.894035271566,0.0807785043492913,9,112,0.78857865431346,0,0.0598401272436604,0.916745185730137
"5",497.159486539311,0.214384011435322,11,87,0.629370307014324,1,0.0264082950307056,1.10077865957979
"6",501.104316497933,0.150756666890811,8,148,0.703050222643651,0,0.034434609755408,0.0346120540939101
"7",475.424105426716,0.18134672321612,19,1,0.641852814774029,0,0.221515807788819,0.013628811892406
"8",495.910645190331,0.307977679581381,6,51,0.625052328663878,1,0.230986807495356,0.34499075628935
"9",482.965073011193,0.426479148655199,14,49,0.669374607200734,1,0.18789438821841,0.0525503432517559
"10",497.518544982315,0.376723436859902,2,101,0.559262850088999,0,0.163720189710148,0.602394597675641
"11",476.081462952991,0.232909569668118,15,3,0.712701609963551,0,0.0958372941240668,3.28718636984619
"12",475.251133109105,0.252372895961162,14,4,0.577721205540001,1,0.00467142212437466,1.48722581707251
"13",472.229991669324,0.405929793941323,9,7,0.700382588151842,0,0.0115796009777114,1.48223386882219
"14",463.269921785321,0.465869077935349,17,6,0.571727860625833,1,0.197983853751794,0.260466395820398
"15",486.801798743871,0.152691125799902,15,16,0.790424737753347,0,1.07654486782849e-05,0.263058884055393
"16",456.769705396969,0.457228326820768,20,2,0.64552452841308,0,0.2233542992617,1.10661773017623
"17",500.561212150323,0.228881316585466,9,100,0.562767544249073,1,0.196109886746854,0.606328738201756
"18",493.180243173028,0.305455022817478,8,39,0.612335082353093,0,0.240889440348838,1.22400711088515
"19",490.424537781629,0.242314752237871,33,55,0.538383272662759,1,0.223654234549031,0.0398207472233176
"20",486.315397299352,0.427208814909682,25,147,0.751279494422488,0,0.12475869449554,0.571541417453405
"21",475.879659502053,0.364095771370921,14,14,0.5014255737653,1,0.0523212132393382,1.61469756361737
"22",485.626434850493,0.481425862875767,36,165,0.716521817957982,0,0.116970720351674,0.808986055077605
"23",474.976378792275,0.415178365784232,11,11,0.607449344964698,0,0.221834222844336,0.131726510196264
"24",460.321355165829,0.436747234535869,14,2,0.578383227111772,1,0.0182732182438485,0.478260862161678
"25",476.885603681838,0.375056317599956,15,22,0.655737805902027,1,0.142696202266961,0.313589273772365
"26",477.623618964495,0.289640764985234,7,1,0.762809309689328,1,0.175682768749539,0.306558364117003
"27",465.833178073189,0.239913200039882,32,1,0.668814149359241,1,0.156279565300792,0.155787939584602
"28",486.849799015611,0.282650160824414,4,4,0.562284096120857,1,0.188701517065056,1.8808726456902
"29",484.208707936445,0.385359226725996,20,77,0.75917612996418,1,0.168190285156015,0.0463245221303812
"30",487.410162194484,0.265404956322163,4,5,0.720808381843381,0,0.14970233530039,2.61343850429957
"31",488.276749642777,0.228742890292779,12,16,0.523454941343516,1,0.16590397543041,1.80026254746433
"32",485.439041555071,0.330695392412599,14,35,0.560977645055391,1,0.128244009625632,0.636100957828086
"33",492.275747341736,0.177570398815442,14,29,0.742502356227487,1,0.142071055190172,1.39946199854688
"34",471.9260803309,0.409335422806907,9,4,0.51904924728442,0,0.0937611858826131,2.54802597263252
"35",453.370467675176,0.464099363342393,28,2,0.580093559972011,0,0.0857860824326053,1.47418955948446
"36",476.924885322423,0.404610586946364,19,35,0.783574441866949,1,0.0876660096109845,1.39073044462108
"37",479.905368369706,0.361833956080955,5,3,0.54902633454185,1,0.167663134401664,0.634109648164343
"38",488.419740975132,0.363773684483021,29,127,0.747572079813108,1,0.228720507700928,0.0909136313521834
"39",483.404284011616,0.158844174677506,12,5,0.770824223174714,0,0.0771043577115051,0.765343745809875
"40",476.221236978458,0.148282209108584,22,1,0.694195312471129,0,0.183826162538026,2.29530357388566
"41",455.487508098826,0.465211979055312,21,3,0.51881215327885,1,0.0301912869908847,0.328618504645924
"42",482.174300767107,0.202900686848443,30,12,0.654066887893714,0,0.185181901033502,0.501209490837135
